RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
13,RU,Maxim Mamin,23,F,6,3,0,3,2,2,0,0,1,0.5,0,0.5,2018,0,0,0,1
14,RU,Nikita Nesterov,25,D,8,2,1,3,2,8,1,0,0,0.25,0.125,0.375,2018,0,0,0,1
15,RU,Dinar Khafizullin,29,D,6,0,3,3,4,3,0,0,0,0,0.5,0.5,2018,0,0,0,1
16,RU,Nikita Soshnikov,24,F,4,0,3,3,0,4,0,0,0,0,0.75,0.75,2018,0,0,0,1
17,RU,Sergei Andronov,28,F,7,1,0,1,4,1,0,0,0,0.143,0,0.143,2018,0,0,0,1
18,RU,Bogdan Kiselevich,28,D,8,0,1,1,2,6,0,0,0,0,0.125,0.125,2018,0,0,0,1
19,RU,Yegor Yakovlev,26,D,8,0,1,1,0,5,0,0,0,0,0.125,0.125,2018,0,0,0,1
20,RU,Vladislav Gavrikov,22,D,8,0,1,1,2,7,0,0,0,0,0.125,0.125,2018,0,0,0,1
21,RU,Nikita Tryamkin,23,D,6,0,1,1,4,4,0,0,0,0,0.167,0.167,2018,0,0,0,1
22,RU,Vasily Koshechkin,35,G,5,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
23,RU,Alexei Bereglazov,24,D,4,0,0,0,2,1,0,0,0,0,0,0,2018,0,0,0,1
24,RU,Igor Shestyorkin,22,G,4,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
1,SK,Ladislav Nagy,38,F,7,1,9,10,4,2,0,0,0,0.143,1.286,1.429,2018,0,0,0,1
2,SK,Michal Kristof,24,F,7,3,3,6,2,1,2,0,0,0.429,0.429,0.857,2018,0,0,0,1
3,SK,Tomas Jurco,25,F,7,4,1,5,8,3,1,0,0,0.571,0.143,0.714,2018,0,0,0,1
4,SK,Martin Bakos,28,F,7,2,2,4,0,-4,0,0,0,0.286,0.286,0.571,2018,0,0,0,1
5,SK,Marek Daloga,29,D,7,2,1,3,4,3,0,1,0,0.286,0.143,0.429,2018,0,0,0,1
6,SK,Andrej Sekera,31,D,7,1,2,3,4,-3,1,0,0,0.143,0.286,0.429,2018,0,0,0,1
7,SK,David Buc,31,F,7,1,2,3,0,-1,0,0,1,0.143,0.286,0.429,2018,0,0,0,1
8,SK,Patrik Svitana,29,F,7,0,3,3,0,0,0,0,0,0,0.429,0.429,2018,0,0,0,1
9,SK,Michal Cajkovsky,25,D,7,1,1,2,6,0,0,1,0,0.143,0.143,0.286,2018,0,0,0,1
10,SK,David Bondra,25,F,7,1,1,2,0,1,0,0,0,0.143,0.143,0.286,2018,0,0,0,1
11,SK,Marek Hovorka,33,F,5,1,1,2,0,-5,0,0,1,0.2,0.2,0.4,2018,0,0,0,1
12,SK,Martin Fehervary,18,D,7,0,2,2,2,0,0,0,0,0,0.286,0.286,2018,0,0,0,1
13,SK,Marcel Hascak,31,F,7,1,0,1,4,-5,0,0,0,0.143,0,0.143,2018,0,0,0,1
14,SK,Christian Jaros,22,D,7,1,0,1,0,0,0,0,1,0.143,0,0.143,2018,0,0,0,1
